,$,OPERACION,comma,id,function,lparen,rparen,rb,lb,plus,minor,divide,multi,percent,power,var,const,let,TRUE,FALSE,number,string,assynament,menorequal,greaterequal,equality,distinct,greater,and,or,if,CONDICIONALELSEIF,else,for,semicolon,while
EXTENDCOMPARATION,EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',,EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',,EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',,,,,,,EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',,,,,,,EXTENDCOMPARATION ::= LOGICCOMPARATION COMPARACION,EXTENDCOMPARATION ::= LOGICCOMPARATION COMPARACION,EXTENDCOMPARATION ::= '',,,EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= '',EXTENDCOMPARATION ::= ''
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDICIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONDICIONAL ::= if lparen COMPARACION rparen CUERPO,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUERPOFACT,CUERPOFACT ::= '',CUERPOFACT ::= '',,CUERPOFACT ::= '',CUERPOFACT ::= '',,,CUERPOFACT ::= '',CUERPOFACT ::= '',,,,,,,CUERPOFACT ::= '',CUERPOFACT ::= '',CUERPOFACT ::= '',CUERPOFACT ::= '',CUERPOFACT ::= '',CUERPOFACT ::= '',CUERPOFACT ::= '',,,,,,,,,CUERPOFACT ::= '',CUERPOFACT ::= CONDICIONALELSEIF,CUERPOFACT ::= CONDICIONALELSE,CUERPOFACT ::= '',,CUERPOFACT ::= ''
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONDICIONALELSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONDICIONALELSE ::= else CUERPO,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARA ::= for lparen ASIGNACION semicolon COMPARACION semicolon ASIGNACION rparen CUERPO,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIENTRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIENTRAS ::= while lparen COMPARACION rparen CUERPO
